path,imgversion,imgbasicFlags,imgadvancedFlags,imgwidth,imgheight,imgimageFormat,fileSize
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,54310
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP3B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,13516
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,58760
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP1B.IMG,1.0,DisableCompressInTextureMemory; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,16384
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,59002
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP2B.IMG,1.0,DisableCompressInTextureMemory; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,16384
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,58952
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP3B.IMG,1.0,DisableCompressInTextureMemory; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,16384
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP4.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,59018
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\DEZMAP4B.IMG,1.0,DisableCompressInTextureMemory; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,16384
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDAMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,LIC,256,256,CLUT8,35565
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDAMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,15016
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDAMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,55738
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDAMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,15016
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDAMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,55688
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDAMAP3B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,15016
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDBMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,60290
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDBMAP1B.IMG,1.0,DisableCompressInTextureMemory; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,16384
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDBMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,60252
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDBMAP2B.IMG,1.0,DisableCompressInTextureMemory; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,16384
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDBMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,60172
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDBMAP3B.IMG,1.0,DisableCompressInTextureMemory; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,16384
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDUSTAM.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,43204
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\INDUSTAMB.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,10336
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MAPARROW.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableDownSample; DisableMipMaps,Huffman,32,32,PlaneARGB,1815
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MAPARROWCOP.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableDownSample; DisableMipMaps,Huffman,32,32,PlaneARGB,1706
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MAPARROWDEAD.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableDownSample; DisableMipMaps,Huffman,32,32,PlaneARGB,2002
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MAPARROWOPP.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableDownSample; DisableMipMaps,Huffman,32,32,PlaneARGB,1762
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MAPCHECKPOINT.IMG,1.0,Compressed; DisableDownSample; DisableMipMaps,Huffman,128,128,PlaneXRGB,12980
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,48406
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14024
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,48200
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14024
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,48380
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP3B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14024
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP4.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,48176
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP4B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14000
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP5.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,48302
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\MINEMAP5B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14024
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\SNOMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,61664
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\SNOMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,15500
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\SNOMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,61898
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\SNOMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,15500
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\SNOMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,61666
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\SNOMAP3B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,15500
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PICKUPS.IMG,1.0,DisableCompressInTextureMemory; OneBitAlpha; Disable16bit; DisableDownSample; DisableMipMaps,0,128,256,CLUT8,32768
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PUFF_1.IMG,1.0,Compressed; OneBitAlpha; DisableMipMaps,0,64,64,CLUT8,1190
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PUFF_2.IMG,1.0,Compressed; DisableMipMaps,0,64,64,XRGB,4782
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PUFF_3.IMG,1.0,Compressed; DisableMipMaps,0,64,64,XRGB,5995
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PUFF_4.IMG,1.0,Compressed; DisableMipMaps,0,64,64,XRGB,7876
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\PICKUPS\PUFF_5.IMG,1.0,Compressed; DisableMipMaps,0,64,64,XRGB,7824
